NumEvaluated,QD-Score,MeanNormFitness,MedianNormFitness,MaxNormFitness,CellsOccupied,PercentOccupied
234,1000,40.0,40.0,40,25,100.0
235,1000,40.0,40.0,40,25,100.0
236,1000,40.0,40.0,40,25,100.0
237,1000,40.0,40.0,40,25,100.0
238,1000,40.0,40.0,40,25,100.0
239,1000,40.0,40.0,40,25,100.0
240,1000,40.0,40.0,40,25,100.0
241,1000,40.0,40.0,40,25,100.0
242,1000,40.0,40.0,40,25,100.0
243,1000,40.0,40.0,40,25,100.0
244,1000,40.0,40.0,40,25,100.0
245,1000,40.0,40.0,40,25,100.0
246,1000,40.0,40.0,40,25,100.0
247,1000,40.0,40.0,40,25,100.0
248,1000,40.0,40.0,40,25,100.0
249,1000,40.0,40.0,40,25,100.0
250,1000,40.0,40.0,40,25,100.0
251,1000,40.0,40.0,40,25,100.0
252,1000,40.0,40.0,40,25,100.0
253,1000,40.0,40.0,40,25,100.0
254,1000,40.0,40.0,40,25,100.0
255,1000,40.0,40.0,40,25,100.0
256,1000,40.0,40.0,40,25,100.0
257,1000,40.0,40.0,40,25,100.0
258,1000,40.0,40.0,40,25,100.0
259,1000,40.0,40.0,40,25,100.0
260,1000,40.0,40.0,40,25,100.0
261,1000,40.0,40.0,40,25,100.0
262,1000,40.0,40.0,40,25,100.0
263,1000,40.0,40.0,40,25,100.0
264,1000,40.0,40.0,40,25,100.0
265,1000,40.0,40.0,40,25,100.0
266,1000,40.0,40.0,40,25,100.0
267,1000,40.0,40.0,40,25,100.0
268,1000,40.0,40.0,40,25,100.0
269,1000,40.0,40.0,40,25,100.0
270,1000,40.0,40.0,40,25,100.0
271,1000,40.0,40.0,40,25,100.0
272,1000,40.0,40.0,40,25,100.0
273,1000,40.0,40.0,40,25,100.0
274,1000,40.0,40.0,40,25,100.0
275,1000,40.0,40.0,40,25,100.0
276,1000,40.0,40.0,40,25,100.0
277,1000,40.0,40.0,40,25,100.0
278,1000,40.0,40.0,40,25,100.0
279,1000,40.0,40.0,40,25,100.0
280,1000,40.0,40.0,40,25,100.0
281,1000,40.0,40.0,40,25,100.0
282,1000,40.0,40.0,40,25,100.0
283,1000,40.0,40.0,40,25,100.0
284,1000,40.0,40.0,40,25,100.0
285,1000,40.0,40.0,40,25,100.0
